County,Category,year,type,Prop,Proportion
Lamu,OPV1,2014,Vaccination,Proportion (2014),100
Lamu,OPV2,2014,Vaccination,Proportion (2014),97.7
Lamu,OPV3,2014,Vaccination,Proportion (2014),94.2
Lamu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),67.4
Taita Taveta,BCG,2014,Vaccination,Proportion (2014),98.4
Taita Taveta,DPT1,2014,Vaccination,Proportion (2014),98.4
Taita Taveta,DPT2,2014,Vaccination,Proportion (2014),98.4
Taita Taveta,DPT3,2014,Vaccination,Proportion (2014),97.5
Taita Taveta,OPV,2014,Vaccination,Proportion (2014),87.1
Taita Taveta,OPV1,2014,Vaccination,Proportion (2014),100
Taita Taveta,OPV2,2014,Vaccination,Proportion (2014),100
Taita Taveta,OPV3,2014,Vaccination,Proportion (2014),97.5
Taita Taveta,FULL_VACCINATION,2014,Vaccination,Proportion (2014),88.8
Garissa,BCG,2014,Vaccination,Proportion (2014),80.3
Garissa,DPT1,2014,Vaccination,Proportion (2014),94.4
Garissa,DPT2,2014,Vaccination,Proportion (2014),93.9
Garissa,DPT3,2014,Vaccination,Proportion (2014),91.6
Garissa,OPV,2014,Vaccination,Proportion (2014),49.8
Garissa,OPV1,2014,Vaccination,Proportion (2014),94.4
Garissa,OPV2,2014,Vaccination,Proportion (2014),88.2
Garissa,OPV3,2014,Vaccination,Proportion (2014),84.1
Garissa,FULL_VACCINATION,2014,Vaccination,Proportion (2014),57.9
Wajir,BCG,2014,Vaccination,Proportion (2014),91
Wajir,DPT1,2014,Vaccination,Proportion (2014),90.8
Wajir,DPT2,2014,Vaccination,Proportion (2014),86.2
Wajir,DPT3,2014,Vaccination,Proportion (2014),79.1
Wajir,OPV,2014,Vaccination,Proportion (2014),39.2
Wajir,OPV1,2014,Vaccination,Proportion (2014),91.7
Wajir,OPV2,2014,Vaccination,Proportion (2014),87.4
Wajir,OPV3,2014,Vaccination,Proportion (2014),77
Wajir,FULL_VACCINATION,2014,Vaccination,Proportion (2014),49.5
Mandera,BCG,2014,Vaccination,Proportion (2014),71.8
Mandera,DPT1,2014,Vaccination,Proportion (2014),68.3
Mandera,DPT2,2014,Vaccination,Proportion (2014),56.5
Mandera,DPT3,2014,Vaccination,Proportion (2014),48.8
Mandera,OPV,2014,Vaccination,Proportion (2014),31.3
Mandera,OPV1,2014,Vaccination,Proportion (2014),71.8
Mandera,OPV2,2014,Vaccination,Proportion (2014),60.1
Mandera,OPV3,2014,Vaccination,Proportion (2014),52.3
Mandera,FULL_VACCINATION,2014,Vaccination,Proportion (2014),42.7
Marsabit,BCG,2014,Vaccination,Proportion (2014),92.6
Marsabit,DPT1,2014,Vaccination,Proportion (2014),96.4
Marsabit,DPT2,2014,Vaccination,Proportion (2014),93.4
Marsabit,DPT3,2014,Vaccination,Proportion (2014),85.7
Marsabit,OPV,2014,Vaccination,Proportion (2014),41.2
Marsabit,OPV1,2014,Vaccination,Proportion (2014),99
Marsabit,OPV2,2014,Vaccination,Proportion (2014),95.6
Marsabit,OPV3,2014,Vaccination,Proportion (2014),88.3
Marsabit,FULL_VACCINATION,2014,Vaccination,Proportion (2014),67.5
Isiolo,BCG,2014,Vaccination,Proportion (2014),96.4
Isiolo,DPT1,2014,Vaccination,Proportion (2014),98.6
Isiolo,DPT2,2014,Vaccination,Proportion (2014),96.5
Isiolo,DPT3,2014,Vaccination,Proportion (2014),94.4
Isiolo,OPV,2014,Vaccination,Proportion (2014),72
Isiolo,OPV1,2014,Vaccination,Proportion (2014),98.6
Isiolo,OPV2,2014,Vaccination,Proportion (2014),95.9
Isiolo,OPV3,2014,Vaccination,Proportion (2014),93.7
Isiolo,FULL_VACCINATION,2014,Vaccination,Proportion (2014),82.3
Meru,BCG,2014,Vaccination,Proportion (2014),99.2
Meru,DPT1,2014,Vaccination,Proportion (2014),100
Meru,DPT2,2014,Vaccination,Proportion (2014),100
Meru,DPT3,2014,Vaccination,Proportion (2014),93.6
Meru,OPV,2014,Vaccination,Proportion (2014),69
Meru,OPV1,2014,Vaccination,Proportion (2014),100
Meru,OPV2,2014,Vaccination,Proportion (2014),100
Meru,OPV3,2014,Vaccination,Proportion (2014),92.4
Meru,FULL_VACCINATION,2014,Vaccination,Proportion (2014),83.9
Tharaka Nithi,BCG,2014,Vaccination,Proportion (2014),100
Tharaka Nithi,DPT1,2014,Vaccination,Proportion (2014),98.3
Tharaka Nithi,DPT2,2014,Vaccination,Proportion (2014),98.3
Tharaka Nithi,DPT3,2014,Vaccination,Proportion (2014),96.8
Tharaka Nithi,OPV,2014,Vaccination,Proportion (2014),95.3
Tharaka Nithi,OPV1,2014,Vaccination,Proportion (2014),100
Tharaka Nithi,OPV2,2014,Vaccination,Proportion (2014),100
Tharaka Nithi,OPV3,2014,Vaccination,Proportion (2014),98.3
Tharaka Nithi,FULL_VACCINATION,2014,Vaccination,Proportion (2014),95.3
Embu,BCG,2014,Vaccination,Proportion (2014),100
Embu,DPT1,2014,Vaccination,Proportion (2014),100
Embu,DPT2,2014,Vaccination,Proportion (2014),100
Embu,DPT3,2014,Vaccination,Proportion (2014),99.2
Embu,OPV,2014,Vaccination,Proportion (2014),89.9
Embu,OPV1,2014,Vaccination,Proportion (2014),100
Embu,OPV2,2014,Vaccination,Proportion (2014),100
Embu,OPV3,2014,Vaccination,Proportion (2014),92.7
Embu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),85.5
Kitui,BCG,2014,Vaccination,Proportion (2014),96.1
Kitui,DPT1,2014,Vaccination,Proportion (2014),96.1
Kitui,DPT2,2014,Vaccination,Proportion (2014),93.1
Kitui,DPT3,2014,Vaccination,Proportion (2014),81.5
Kitui,OPV,2014,Vaccination,Proportion (2014),42.7
Kitui,OPV1,2014,Vaccination,Proportion (2014),97.7
Kitui,OPV2,2014,Vaccination,Proportion (2014),93.1
Kitui,OPV3,2014,Vaccination,Proportion (2014),81.9
Kitui,FULL_VACCINATION,2014,Vaccination,Proportion (2014),56.8
Machakos,BCG,2014,Vaccination,Proportion (2014),100
Machakos,DPT1,2014,Vaccination,Proportion (2014),100
Machakos,DPT2,2014,Vaccination,Proportion (2014),100
Machakos,DPT3,2014,Vaccination,Proportion (2014),97.8
Machakos,OPV,2014,Vaccination,Proportion (2014),86
Machakos,OPV1,2014,Vaccination,Proportion (2014),98.4
Machakos,OPV2,2014,Vaccination,Proportion (2014),98.4
Machakos,OPV3,2014,Vaccination,Proportion (2014),96.2
Machakos,FULL_VACCINATION,2014,Vaccination,Proportion (2014),90
Makueni,BCG,2014,Vaccination,Proportion (2014),100
Makueni,DPT1,2014,Vaccination,Proportion (2014),100
Makueni,DPT2,2014,Vaccination,Proportion (2014),100
Makueni,DPT3,2014,Vaccination,Proportion (2014),99.1
Makueni,OPV,2014,Vaccination,Proportion (2014),75.6
Makueni,OPV1,2014,Vaccination,Proportion (2014),100
Makueni,OPV2,2014,Vaccination,Proportion (2014),96.2
Makueni,OPV3,2014,Vaccination,Proportion (2014),95.3
Makueni,FULL_VACCINATION,2014,Vaccination,Proportion (2014),89.7
Nyandarua,BCG,2014,Vaccination,Proportion (2014),100
Nyandarua,DPT1,2014,Vaccination,Proportion (2014),100
Nyandarua,DPT2,2014,Vaccination,Proportion (2014),98.1
Nyandarua,DPT3,2014,Vaccination,Proportion (2014),90.8
Nyandarua,OPV,2014,Vaccination,Proportion (2014),84.9
Nyandarua,OPV1,2014,Vaccination,Proportion (2014),100
Nyandarua,OPV2,2014,Vaccination,Proportion (2014),98.1
Nyandarua,OPV3,2014,Vaccination,Proportion (2014),94.6
Nyandarua,FULL_VACCINATION,2014,Vaccination,Proportion (2014),81.4
Nyeri,BCG,2014,Vaccination,Proportion (2014),98.7
Nyeri,DPT1,2014,Vaccination,Proportion (2014),97.2
Nyeri,DPT2,2014,Vaccination,Proportion (2014),97.2
Nyeri,DPT3,2014,Vaccination,Proportion (2014),94.9
Nyeri,OPV,2014,Vaccination,Proportion (2014),84.4
Nyeri,OPV1,2014,Vaccination,Proportion (2014),100
Nyeri,OPV2,2014,Vaccination,Proportion (2014),100
Nyeri,OPV3,2014,Vaccination,Proportion (2014),95.1
Nyeri,FULL_VACCINATION,2014,Vaccination,Proportion (2014),84.3
Kirinyaga,BCG,2014,Vaccination,Proportion (2014),100
Kirinyaga,DPT1,2014,Vaccination,Proportion (2014),100
Kirinyaga,DPT2,2014,Vaccination,Proportion (2014),100
Kirinyaga,DPT3,2014,Vaccination,Proportion (2014),100
Kirinyaga,OPV,2014,Vaccination,Proportion (2014),60.3
Kirinyaga,OPV1,2014,Vaccination,Proportion (2014),100
Kirinyaga,OPV2,2014,Vaccination,Proportion (2014),100
Kirinyaga,OPV3,2014,Vaccination,Proportion (2014),100
Kirinyaga,FULL_VACCINATION,2014,Vaccination,Proportion (2014),92.3
Muranga,BCG,2014,Vaccination,Proportion (2014),99
Muranga,DPT1,2014,Vaccination,Proportion (2014),99
Muranga,DPT2,2014,Vaccination,Proportion (2014),95.7
Muranga,DPT3,2014,Vaccination,Proportion (2014),89.9
Muranga,OPV,2014,Vaccination,Proportion (2014),78
Muranga,OPV1,2014,Vaccination,Proportion (2014),99
Muranga,OPV2,2014,Vaccination,Proportion (2014),95.7
Muranga,OPV3,2014,Vaccination,Proportion (2014),89.9
Muranga,FULL_VACCINATION,2014,Vaccination,Proportion (2014),86.4
Kiambu,BCG,2014,Vaccination,Proportion (2014),100
Kiambu,DPT1,2014,Vaccination,Proportion (2014),100
Kiambu,DPT2,2014,Vaccination,Proportion (2014),100
Kiambu,DPT3,2014,Vaccination,Proportion (2014),99
Kiambu,OPV,2014,Vaccination,Proportion (2014),81.8
Kiambu,OPV1,2014,Vaccination,Proportion (2014),100
Kiambu,OPV2,2014,Vaccination,Proportion (2014),100
Kiambu,OPV3,2014,Vaccination,Proportion (2014),99
Kiambu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),97.2
Turkana,BCG,2014,Vaccination,Proportion (2014),94.5
Turkana,DPT1,2014,Vaccination,Proportion (2014),94.4
Turkana,DPT2,2014,Vaccination,Proportion (2014),91.5
Turkana,DPT3,2014,Vaccination,Proportion (2014),86.2
Turkana,OPV,2014,Vaccination,Proportion (2014),63.7
Turkana,OPV1,2014,Vaccination,Proportion (2014),94.4
Turkana,OPV2,2014,Vaccination,Proportion (2014),90.8
Turkana,OPV3,2014,Vaccination,Proportion (2014),83.9
Turkana,FULL_VACCINATION,2014,Vaccination,Proportion (2014),61.8
West Pokot,BCG,2014,Vaccination,Proportion (2014),78.9
West Pokot,DPT1,2014,Vaccination,Proportion (2014),86.4
West Pokot,DPT2,2014,Vaccination,Proportion (2014),80.6
West Pokot,DPT3,2014,Vaccination,Proportion (2014),68.3
West Pokot,OPV,2014,Vaccination,Proportion (2014),35.3
West Pokot,OPV1,2014,Vaccination,Proportion (2014),87.3
West Pokot,OPV2,2014,Vaccination,Proportion (2014),78.6
West Pokot,OPV3,2014,Vaccination,Proportion (2014),60.5
West Pokot,FULL_VACCINATION,2014,Vaccination,Proportion (2014),31.2
Samburu,BCG,2014,Vaccination,Proportion (2014),96.8
Samburu,DPT1,2014,Vaccination,Proportion (2014),93.2
Samburu,DPT2,2014,Vaccination,Proportion (2014),89.7
Samburu,DPT3,2014,Vaccination,Proportion (2014),86.9
Samburu,OPV,2014,Vaccination,Proportion (2014),48.4
Samburu,OPV1,2014,Vaccination,Proportion (2014),96.6
Samburu,OPV2,2014,Vaccination,Proportion (2014),92.6
Samburu,OPV3,2014,Vaccination,Proportion (2014),87.9
Samburu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),64.1
Trans Nzoia,BCG,2014,Vaccination,Proportion (2014),100
Trans Nzoia,DPT1,2014,Vaccination,Proportion (2014),100
Trans Nzoia,DPT2,2014,Vaccination,Proportion (2014),98.1
Trans Nzoia,DPT3,2014,Vaccination,Proportion (2014),77.8
Trans Nzoia,OPV,2014,Vaccination,Proportion (2014),56.8
Trans Nzoia,OPV1,2014,Vaccination,Proportion (2014),100
Trans Nzoia,OPV2,2014,Vaccination,Proportion (2014),98.3
Trans Nzoia,OPV3,2014,Vaccination,Proportion (2014),89.8
Trans Nzoia,FULL_VACCINATION,2014,Vaccination,Proportion (2014),63.9
Uasin Gishu,BCG,2014,Vaccination,Proportion (2014),95.9
Uasin Gishu,DPT1,2014,Vaccination,Proportion (2014),97.3
Uasin Gishu,DPT2,2014,Vaccination,Proportion (2014),95.9
Uasin Gishu,DPT3,2014,Vaccination,Proportion (2014),91.5
Uasin Gishu,OPV,2014,Vaccination,Proportion (2014),54.3
Uasin Gishu,OPV1,2014,Vaccination,Proportion (2014),95.9
Uasin Gishu,OPV2,2014,Vaccination,Proportion (2014),94.6
Uasin Gishu,OPV3,2014,Vaccination,Proportion (2014),90.2
Uasin Gishu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),72.3
Elgeyo Marakwet,BCG,2014,Vaccination,Proportion (2014),100
Elgeyo Marakwet,DPT1,2014,Vaccination,Proportion (2014),100
Elgeyo Marakwet,DPT2,2014,Vaccination,Proportion (2014),97.9
Elgeyo Marakwet,DPT3,2014,Vaccination,Proportion (2014),97.9
Elgeyo Marakwet,OPV,2014,Vaccination,Proportion (2014),78.4
Elgeyo Marakwet,OPV1,2014,Vaccination,Proportion (2014),99.4
Elgeyo Marakwet,OPV2,2014,Vaccination,Proportion (2014),97.9
Elgeyo Marakwet,OPV3,2014,Vaccination,Proportion (2014),95.3
Elgeyo Marakwet,FULL_VACCINATION,2014,Vaccination,Proportion (2014),85.2
Nandi,BCG,2014,Vaccination,Proportion (2014),99.4
Nandi,DPT1,2014,Vaccination,Proportion (2014),100
Nandi,DPT2,2014,Vaccination,Proportion (2014),100
Nandi,DPT3,2014,Vaccination,Proportion (2014),99.4
Nandi,OPV,2014,Vaccination,Proportion (2014),69.1
Nandi,OPV1,2014,Vaccination,Proportion (2014),100
Nandi,OPV2,2014,Vaccination,Proportion (2014),100
Nandi,OPV3,2014,Vaccination,Proportion (2014),99.4
Nandi,FULL_VACCINATION,2014,Vaccination,Proportion (2014),96.3
Baringo,BCG,2014,Vaccination,Proportion (2014),100
Baringo,DPT1,2014,Vaccination,Proportion (2014),100
Baringo,DPT2,2014,Vaccination,Proportion (2014),98.3
Baringo,DPT3,2014,Vaccination,Proportion (2014),94.5
Baringo,OPV,2014,Vaccination,Proportion (2014),60.5
Baringo,OPV1,2014,Vaccination,Proportion (2014),100
Baringo,OPV2,2014,Vaccination,Proportion (2014),99
Baringo,OPV3,2014,Vaccination,Proportion (2014),94.1
Baringo,FULL_VACCINATION,2014,Vaccination,Proportion (2014),69.4
Laikipia,BCG,2014,Vaccination,Proportion (2014),98.7
Laikipia,DPT1,2014,Vaccination,Proportion (2014),98.7
Laikipia,DPT2,2014,Vaccination,Proportion (2014),98.7
Laikipia,DPT3,2014,Vaccination,Proportion (2014),89.7
Laikipia,OPV,2014,Vaccination,Proportion (2014),72
Laikipia,OPV1,2014,Vaccination,Proportion (2014),98.7
Laikipia,OPV2,2014,Vaccination,Proportion (2014),96.3
Laikipia,OPV3,2014,Vaccination,Proportion (2014),91.1
Laikipia,FULL_VACCINATION,2014,Vaccination,Proportion (2014),79.3
Nakuru,BCG,2014,Vaccination,Proportion (2014),97.2
Nakuru,DPT1,2014,Vaccination,Proportion (2014),97.9
Nakuru,DPT2,2014,Vaccination,Proportion (2014),96.1
Nakuru,DPT3,2014,Vaccination,Proportion (2014),90.9
Nakuru,OPV,2014,Vaccination,Proportion (2014),74.6
Nakuru,OPV1,2014,Vaccination,Proportion (2014),97.9
Nakuru,OPV2,2014,Vaccination,Proportion (2014),95.1
Nakuru,OPV3,2014,Vaccination,Proportion (2014),90.4
Nakuru,FULL_VACCINATION,2014,Vaccination,Proportion (2014),74.7
Narok,BCG,2014,Vaccination,Proportion (2014),95
Narok,DPT1,2014,Vaccination,Proportion (2014),96.3
Narok,DPT2,2014,Vaccination,Proportion (2014),91.2
Narok,DPT3,2014,Vaccination,Proportion (2014),83
Narok,OPV,2014,Vaccination,Proportion (2014),37.6
Narok,OPV1,2014,Vaccination,Proportion (2014),98.4
Narok,OPV2,2014,Vaccination,Proportion (2014),95
Narok,OPV3,2014,Vaccination,Proportion (2014),82.1
Narok,FULL_VACCINATION,2014,Vaccination,Proportion (2014),58.5
Kajiado,BCG,2014,Vaccination,Proportion (2014),97.7
Kajiado,DPT1,2014,Vaccination,Proportion (2014),97
Kajiado,DPT2,2014,Vaccination,Proportion (2014),92.4
Kajiado,DPT3,2014,Vaccination,Proportion (2014),79.1
Kajiado,OPV,2014,Vaccination,Proportion (2014),51.9
Kajiado,OPV1,2014,Vaccination,Proportion (2014),96.2
Kajiado,OPV2,2014,Vaccination,Proportion (2014),87.6
Kajiado,OPV3,2014,Vaccination,Proportion (2014),68.5
Kajiado,FULL_VACCINATION,2014,Vaccination,Proportion (2014),56.4
Kericho,BCG,2014,Vaccination,Proportion (2014),100
Kericho,DPT1,2014,Vaccination,Proportion (2014),100
Kericho,DPT2,2014,Vaccination,Proportion (2014),100
Kericho,DPT3,2014,Vaccination,Proportion (2014),95.7
Kericho,OPV,2014,Vaccination,Proportion (2014),81
Kericho,OPV1,2014,Vaccination,Proportion (2014),100
Kericho,OPV2,2014,Vaccination,Proportion (2014),100
Kericho,OPV3,2014,Vaccination,Proportion (2014),93
Kericho,FULL_VACCINATION,2014,Vaccination,Proportion (2014),71.8
Bomet,BCG,2014,Vaccination,Proportion (2014),100
Bomet,DPT1,2014,Vaccination,Proportion (2014),100
Bomet,DPT2,2014,Vaccination,Proportion (2014),99.2
Bomet,DPT3,2014,Vaccination,Proportion (2014),98
Bomet,OPV,2014,Vaccination,Proportion (2014),62.4
Bomet,OPV1,2014,Vaccination,Proportion (2014),100
Bomet,OPV2,2014,Vaccination,Proportion (2014),100
Bomet,OPV3,2014,Vaccination,Proportion (2014),95.6
Bomet,FULL_VACCINATION,2014,Vaccination,Proportion (2014),81.3
Kakamega,BCG,2014,Vaccination,Proportion (2014),94.9
Kakamega,DPT1,2014,Vaccination,Proportion (2014),98.9
Kakamega,DPT2,2014,Vaccination,Proportion (2014),94.9
Kakamega,DPT3,2014,Vaccination,Proportion (2014),89.5
Kakamega,OPV,2014,Vaccination,Proportion (2014),43.4
Kakamega,OPV1,2014,Vaccination,Proportion (2014),98.9
Kakamega,OPV2,2014,Vaccination,Proportion (2014),94.9
Kakamega,OPV3,2014,Vaccination,Proportion (2014),89.5
Kakamega,FULL_VACCINATION,2014,Vaccination,Proportion (2014),73.1
Vihiga,BCG,2014,Vaccination,Proportion (2014),98.3
Vihiga,DPT1,2014,Vaccination,Proportion (2014),98.3
Vihiga,DPT2,2014,Vaccination,Proportion (2014),98.3
Vihiga,DPT3,2014,Vaccination,Proportion (2014),97
Vihiga,OPV,2014,Vaccination,Proportion (2014),75
Vihiga,OPV1,2014,Vaccination,Proportion (2014),98.3
Vihiga,OPV2,2014,Vaccination,Proportion (2014),98.3
Vihiga,OPV3,2014,Vaccination,Proportion (2014),94.4
Vihiga,FULL_VACCINATION,2014,Vaccination,Proportion (2014),94.4
Bungoma,BCG,2014,Vaccination,Proportion (2014),95.3
Bungoma,DPT1,2014,Vaccination,Proportion (2014),95
Bungoma,DPT2,2014,Vaccination,Proportion (2014),95
Bungoma,DPT3,2014,Vaccination,Proportion (2014),88.9
Bungoma,OPV,2014,Vaccination,Proportion (2014),51.3
Bungoma,OPV1,2014,Vaccination,Proportion (2014),96.2
Bungoma,OPV2,2014,Vaccination,Proportion (2014),95.7
Bungoma,OPV3,2014,Vaccination,Proportion (2014),90.5
Bungoma,FULL_VACCINATION,2014,Vaccination,Proportion (2014),75.9
Busia,BCG,2014,Vaccination,Proportion (2014),98
Busia,DPT1,2014,Vaccination,Proportion (2014),96.9
Busia,DPT2,2014,Vaccination,Proportion (2014),95.3
Busia,DPT3,2014,Vaccination,Proportion (2014),90.4
Busia,OPV,2014,Vaccination,Proportion (2014),54.1
Busia,OPV1,2014,Vaccination,Proportion (2014),100
Busia,OPV2,2014,Vaccination,Proportion (2014),98.4
Busia,OPV3,2014,Vaccination,Proportion (2014),94.1
Busia,FULL_VACCINATION,2014,Vaccination,Proportion (2014),80.4
Siaya,BCG,2014,Vaccination,Proportion (2014),98.4
Siaya,DPT1,2014,Vaccination,Proportion (2014),100
Siaya,DPT2,2014,Vaccination,Proportion (2014),100
Siaya,DPT3,2014,Vaccination,Proportion (2014),93.9
Siaya,OPV,2014,Vaccination,Proportion (2014),78.6
Siaya,OPV1,2014,Vaccination,Proportion (2014),100
Siaya,OPV2,2014,Vaccination,Proportion (2014),100
Siaya,OPV3,2014,Vaccination,Proportion (2014),91.9
Siaya,FULL_VACCINATION,2014,Vaccination,Proportion (2014),78
Kisumu,BCG,2014,Vaccination,Proportion (2014),97.2
Kisumu,DPT1,2014,Vaccination,Proportion (2014),97.6
Kisumu,DPT2,2014,Vaccination,Proportion (2014),97.6
Kisumu,DPT3,2014,Vaccination,Proportion (2014),87
Kisumu,OPV,2014,Vaccination,Proportion (2014),76.3
Kisumu,OPV1,2014,Vaccination,Proportion (2014),97.6
Kisumu,OPV2,2014,Vaccination,Proportion (2014),96.4
Kisumu,OPV3,2014,Vaccination,Proportion (2014),87.7
Kisumu,FULL_VACCINATION,2014,Vaccination,Proportion (2014),78.9
Homa Bay,BCG,2014,Vaccination,Proportion (2014),94.5
Homa Bay,DPT1,2014,Vaccination,Proportion (2014),97.9
Homa Bay,DPT2,2014,Vaccination,Proportion (2014),97.2
Homa Bay,DPT3,2014,Vaccination,Proportion (2014),82.3
Homa Bay,OPV,2014,Vaccination,Proportion (2014),64.8
Homa Bay,OPV1,2014,Vaccination,Proportion (2014),97.9
Homa Bay,OPV2,2014,Vaccination,Proportion (2014),95.3
Homa Bay,OPV3,2014,Vaccination,Proportion (2014),84.7
Homa Bay,FULL_VACCINATION,2014,Vaccination,Proportion (2014),64.4
Migori,BCG,2014,Vaccination,Proportion (2014),87.6
Migori,DPT1,2014,Vaccination,Proportion (2014),99.6
Migori,DPT2,2014,Vaccination,Proportion (2014),97.7
Migori,DPT3,2014,Vaccination,Proportion (2014),89.9
Migori,OPV,2014,Vaccination,Proportion (2014),39.9
Migori,OPV1,2014,Vaccination,Proportion (2014),98.9
Migori,OPV2,2014,Vaccination,Proportion (2014),96.9
Migori,OPV3,2014,Vaccination,Proportion (2014),92.4
Migori,FULL_VACCINATION,2014,Vaccination,Proportion (2014),57.2
Kisii,BCG,2014,Vaccination,Proportion (2014),100
Kisii,DPT1,2014,Vaccination,Proportion (2014),97.8
Kisii,DPT2,2014,Vaccination,Proportion (2014),97.8
Kisii,DPT3,2014,Vaccination,Proportion (2014),95.3
Kisii,OPV,2014,Vaccination,Proportion (2014),90.5
Kisii,OPV1,2014,Vaccination,Proportion (2014),99.1
Kisii,OPV2,2014,Vaccination,Proportion (2014),99.1
Kisii,OPV3,2014,Vaccination,Proportion (2014),97.2
Kisii,FULL_VACCINATION,2014,Vaccination,Proportion (2014),82.2
Nyamira,BCG,2014,Vaccination,Proportion (2014),99
Nyamira,DPT1,2014,Vaccination,Proportion (2014),99
Nyamira,DPT2,2014,Vaccination,Proportion (2014),99
Nyamira,DPT3,2014,Vaccination,Proportion (2014),97.6
Nyamira,OPV,2014,Vaccination,Proportion (2014),88
Nyamira,OPV1,2014,Vaccination,Proportion (2014),100
Nyamira,OPV2,2014,Vaccination,Proportion (2014),100
Nyamira,OPV3,2014,Vaccination,Proportion (2014),97
Nyamira,FULL_VACCINATION,2014,Vaccination,Proportion (2014),92.1
Nairobi,BCG,2014,Vaccination,Proportion (2014),97.6
Nairobi,DPT1,2014,Vaccination,Proportion (2014),97.3
Nairobi,DPT2,2014,Vaccination,Proportion (2014),93.6
Nairobi,DPT3,2014,Vaccination,Proportion (2014),88
Nairobi,OPV,2014,Vaccination,Proportion (2014),71.4
Nairobi,OPV1,2014,Vaccination,Proportion (2014),98.3
Nairobi,OPV2,2014,Vaccination,Proportion (2014),96.9
Nairobi,OPV3,2014,Vaccination,Proportion (2014),91.3
Nairobi,FULL_VACCINATION,2014,Vaccination,Proportion (2014),74.4
Mombasa,BCG,2022,Vaccination,Proportion (2022),98.6
Mombasa,BCG,2022,Vaccination,Percentage change,-1.4
Mombasa,DPT1,2022,Vaccination,Proportion (2022),100
Mombasa,DPT1,2022,Vaccination,Percentage change,0
Mombasa,DPT2,2022,Vaccination,Proportion (2022),99.1
Mombasa,DPT2,2022,Vaccination,Percentage change,0.8
Mombasa,DPT3,2022,Vaccination,Proportion (2022),97.4
Mombasa,DPT3,2022,Vaccination,Percentage change,1.8
Mombasa,OPV,2022,Vaccination,Proportion (2022),94.5
Mombasa,OPV,2022,Vaccination,Percentage change,16.5
Mombasa,OPV1,2022,Vaccination,Proportion (2022),100
Mombasa,OPV1,2022,Vaccination,Percentage change,0
Mombasa,OPV2,2022,Vaccination,Proportion (2022),99.1
Mombasa,OPV2,2022,Vaccination,Percentage change,0.8
Mombasa,OPV3,2022,Vaccination,Proportion (2022),85.9
Mombasa,OPV3,2022,Vaccination,Percentage change,-9.2
Mombasa,FULL_VACCINATION,2022,Vaccination,Proportion (2022),70.4
Mombasa,FULL_VACCINATION,2022,Vaccination,Percentage change,-11.6
Kwale,BCG,2022,Vaccination,Proportion (2022),96.1
Kwale,BCG,2022,Vaccination,Percentage change,-2.6
Kwale,DPT1,2022,Vaccination,Proportion (2022),96.7
Kwale,DPT1,2022,Vaccination,Percentage change,0
Kwale,DPT2,2022,Vaccination,Proportion (2022),94
Kwale,DPT2,2022,Vaccination,Percentage change,-2.9
Kwale,DPT3,2022,Vaccination,Proportion (2022),82.5
Kwale,DPT3,2022,Vaccination,Percentage change,-15.3
Kwale,OPV,2022,Vaccination,Proportion (2022),85.9
Kwale,OPV,2022,Vaccination,Percentage change,14.4
Kwale,OPV1,2022,Vaccination,Proportion (2022),96.7
Kwale,OPV1,2022,Vaccination,Percentage change,-2.8
Kwale,OPV2,2022,Vaccination,Proportion (2022),96.7
Kwale,OPV2,2022,Vaccination,Percentage change,0.8
Kwale,OPV3,2022,Vaccination,Proportion (2022),77.4
Kwale,OPV3,2022,Vaccination,Percentage change,-22.2
Kwale,FULL_VACCINATION,2022,Vaccination,Proportion (2022),50.1
Kwale,FULL_VACCINATION,2022,Vaccination,Percentage change,-68.7
Kilifi,BCG,2022,Vaccination,Proportion (2022),100
Kilifi,BCG,2022,Vaccination,Percentage change,5.7
Kilifi,DPT1,2022,Vaccination,Proportion (2022),100
Kilifi,DPT1,2022,Vaccination,Percentage change,4.7
Kilifi,DPT2,2022,Vaccination,Proportion (2022),98.2
Kilifi,DPT2,2022,Vaccination,Percentage change,3
Kilifi,DPT3,2022,Vaccination,Proportion (2022),93.7
Kilifi,DPT3,2022,Vaccination,Percentage change,6.6
Kilifi,OPV,2022,Vaccination,Proportion (2022),92.9
Kilifi,OPV,2022,Vaccination,Percentage change,11.8
Kilifi,OPV1,2022,Vaccination,Proportion (2022),99.3
Kilifi,OPV1,2022,Vaccination,Percentage change,3.1
Kilifi,OPV2,2022,Vaccination,Proportion (2022),97.5
Kilifi,OPV2,2022,Vaccination,Percentage change,1.7
Kilifi,OPV3,2022,Vaccination,Proportion (2022),78.6
Kilifi,OPV3,2022,Vaccination,Percentage change,-13
Kilifi,FULL_VACCINATION,2022,Vaccination,Proportion (2022),62.5
Kilifi,FULL_VACCINATION,2022,Vaccination,Percentage change,-18.6
Tana River,BCG,2022,Vaccination,Proportion (2022),94.6
Tana River,BCG,2022,Vaccination,Percentage change,-2.6
Tana River,DPT1,2022,Vaccination,Proportion (2022),93.5
Tana River,DPT1,2022,Vaccination,Percentage change,-3.9
