County,indicator,indicator1,values
Isiolo,Teenage Pregnancy,Pregnancy loss,0.4
Isiolo,Teenage Pregnancy,Currently pregnant,3.1
Isiolo,Teenage Pregnancy,Ever pregnant,16.7
Meru,Teenage Pregnancy,Live birth,16.9
Meru,Teenage Pregnancy,Pregnancy loss,1
Meru,Teenage Pregnancy,Currently pregnant,7.6
Meru,Teenage Pregnancy,Ever pregnant,23.6
Tharaka Nithi,Teenage Pregnancy,Live birth,9.1
Tharaka Nithi,Teenage Pregnancy,Pregnancy loss,0
Tharaka Nithi,Teenage Pregnancy,Currently pregnant,0.8
Tharaka Nithi,Teenage Pregnancy,Ever pregnant,9.9
Embu,Teenage Pregnancy,Live birth,9.1
Embu,Teenage Pregnancy,Pregnancy loss,0.4
Embu,Teenage Pregnancy,Currently pregnant,4.9
Embu,Teenage Pregnancy,Ever pregnant,14.4
Kitui,Teenage Pregnancy,Live birth,9.2
Kitui,Teenage Pregnancy,Pregnancy loss,0
Kitui,Teenage Pregnancy,Currently pregnant,0
Kitui,Teenage Pregnancy,Ever pregnant,9.2
Machakos,Teenage Pregnancy,Live birth,9.5
Machakos,Teenage Pregnancy,Pregnancy loss,0
Machakos,Teenage Pregnancy,Currently pregnant,1.7
Machakos,Teenage Pregnancy,Ever pregnant,11.3
Makueni,Teenage Pregnancy,Live birth,8.2
Makueni,Teenage Pregnancy,Pregnancy loss,0
Makueni,Teenage Pregnancy,Currently pregnant,2.9
Makueni,Teenage Pregnancy,Ever pregnant,11.1
Nyandarua,Teenage Pregnancy,Live birth,4.3
Nyandarua,Teenage Pregnancy,Pregnancy loss,0.2
Nyandarua,Teenage Pregnancy,Currently pregnant,1.5
Nyandarua,Teenage Pregnancy,Ever pregnant,5.2
Nyeri,Teenage Pregnancy,Live birth,4.5
Nyeri,Teenage Pregnancy,Pregnancy loss,0
Nyeri,Teenage Pregnancy,Currently pregnant,0
Nyeri,Teenage Pregnancy,Ever pregnant,4.5
Kirinyaga,Teenage Pregnancy,Live birth,7.3
Kirinyaga,Teenage Pregnancy,Pregnancy loss,0
Kirinyaga,Teenage Pregnancy,Currently pregnant,0
Kirinyaga,Teenage Pregnancy,Ever pregnant,7.3
Muranga,Teenage Pregnancy,Live birth,3.8
Muranga,Teenage Pregnancy,Pregnancy loss,0
Muranga,Teenage Pregnancy,Currently pregnant,3.6
Muranga,Teenage Pregnancy,Ever pregnant,7.4
Kiambu,Teenage Pregnancy,Live birth,8.3
Kiambu,Teenage Pregnancy,Pregnancy loss,0
Kiambu,Teenage Pregnancy,Currently pregnant,3.6
Kiambu,Teenage Pregnancy,Ever pregnant,11.9
Turkana,Teenage Pregnancy,Live birth,15
Turkana,Teenage Pregnancy,Pregnancy loss,0
Turkana,Teenage Pregnancy,Currently pregnant,4.4
Turkana,Teenage Pregnancy,Ever pregnant,18.5
West Pokot,Teenage Pregnancy,Live birth,32.2
West Pokot,Teenage Pregnancy,Pregnancy loss,2.7
West Pokot,Teenage Pregnancy,Currently pregnant,6.1
West Pokot,Teenage Pregnancy,Ever pregnant,36.3
Samburu,Teenage Pregnancy,Live birth,41.5
Samburu,Teenage Pregnancy,Pregnancy loss,5.2
Samburu,Teenage Pregnancy,Currently pregnant,8.7
Samburu,Teenage Pregnancy,Ever pregnant,50.1
Trans Nzoia,Teenage Pregnancy,Live birth,14.8
Trans Nzoia,Teenage Pregnancy,Pregnancy loss,1.9
Trans Nzoia,Teenage Pregnancy,Currently pregnant,2.6
Trans Nzoia,Teenage Pregnancy,Ever pregnant,17.8
Uasin Gishu,Teenage Pregnancy,Live birth,7.9
Uasin Gishu,Teenage Pregnancy,Pregnancy loss,1.9
Uasin Gishu,Teenage Pregnancy,Currently pregnant,5.3
Uasin Gishu,Teenage Pregnancy,Ever pregnant,10.7
Elgeyo Marakwet,Teenage Pregnancy,Live birth,9.6
Elgeyo Marakwet,Teenage Pregnancy,Pregnancy loss,1.4
Elgeyo Marakwet,Teenage Pregnancy,Currently pregnant,2.5
Elgeyo Marakwet,Teenage Pregnancy,Ever pregnant,12.1
Nandi,Teenage Pregnancy,Live birth,9.7
Nandi,Teenage Pregnancy,Pregnancy loss,0.8
Nandi,Teenage Pregnancy,Currently pregnant,0
Nandi,Teenage Pregnancy,Ever pregnant,10.5
Baringo,Teenage Pregnancy,Live birth,14
Baringo,Teenage Pregnancy,Pregnancy loss,1.5
Baringo,Teenage Pregnancy,Currently pregnant,6.3
Baringo,Teenage Pregnancy,Ever pregnant,20.3
Laikipia,Teenage Pregnancy,Live birth,8.6
Laikipia,Teenage Pregnancy,Pregnancy loss,0.6
Laikipia,Teenage Pregnancy,Currently pregnant,1.3
Laikipia,Teenage Pregnancy,Ever pregnant,9.1
Nakuru,Teenage Pregnancy,Live birth,13.6
Nakuru,Teenage Pregnancy,Pregnancy loss,0.8
Nakuru,Teenage Pregnancy,Currently pregnant,3.7
Nakuru,Teenage Pregnancy,Ever pregnant,17.3
Narok,Teenage Pregnancy,Live birth,25.9
Narok,Teenage Pregnancy,Pregnancy loss,2.5
Narok,Teenage Pregnancy,Currently pregnant,3
Narok,Teenage Pregnancy,Ever pregnant,28.1
Kajiado,Teenage Pregnancy,Live birth,20.3
Kajiado,Teenage Pregnancy,Pregnancy loss,0
Kajiado,Teenage Pregnancy,Currently pregnant,3
Kajiado,Teenage Pregnancy,Ever pregnant,21.8
Kericho,Teenage Pregnancy,Live birth,14.5
Kericho,Teenage Pregnancy,Pregnancy loss,0
Kericho,Teenage Pregnancy,Currently pregnant,0
Kericho,Teenage Pregnancy,Ever pregnant,14.5
Bomet,Teenage Pregnancy,Live birth,7.2
Bomet,Teenage Pregnancy,Pregnancy loss,1.2
Bomet,Teenage Pregnancy,Currently pregnant,1.2
Bomet,Teenage Pregnancy,Ever pregnant,9
Kakamega,Teenage Pregnancy,Live birth,12.3
Kakamega,Teenage Pregnancy,Pregnancy loss,0.5
Kakamega,Teenage Pregnancy,Currently pregnant,2.8
Kakamega,Teenage Pregnancy,Ever pregnant,15.1
Vihiga,Teenage Pregnancy,Live birth,3.9
Vihiga,Teenage Pregnancy,Pregnancy loss,0
Vihiga,Teenage Pregnancy,Currently pregnant,4.6
Vihiga,Teenage Pregnancy,Ever pregnant,7.7
Bungoma,Teenage Pregnancy,Live birth,14.8
Bungoma,Teenage Pregnancy,Pregnancy loss,1.8
Bungoma,Teenage Pregnancy,Currently pregnant,4.2
Bungoma,Teenage Pregnancy,Ever pregnant,18.6
Busia,Teenage Pregnancy,Live birth,13.1
Busia,Teenage Pregnancy,Pregnancy loss,2.9
Busia,Teenage Pregnancy,Currently pregnant,3
Busia,Teenage Pregnancy,Ever pregnant,18.3
Siaya,Teenage Pregnancy,Live birth,18.4
Siaya,Teenage Pregnancy,Pregnancy loss,0.5
Siaya,Teenage Pregnancy,Currently pregnant,3.3
Siaya,Teenage Pregnancy,Ever pregnant,20.9
Kisumu,Teenage Pregnancy,Live birth,9.2
Kisumu,Teenage Pregnancy,Pregnancy loss,0
Kisumu,Teenage Pregnancy,Currently pregnant,3.8
Kisumu,Teenage Pregnancy,Ever pregnant,11.1
Homa Bay,Teenage Pregnancy,Live birth,18.7
Homa Bay,Teenage Pregnancy,Pregnancy loss,2.6
Homa Bay,Teenage Pregnancy,Currently pregnant,2.9
Homa Bay,Teenage Pregnancy,Ever pregnant,23.2
Migori,Teenage Pregnancy,Live birth,20.4
Migori,Teenage Pregnancy,Pregnancy loss,0.6
Migori,Teenage Pregnancy,Currently pregnant,4
Migori,Teenage Pregnancy,Ever pregnant,23
Kisii,Teenage Pregnancy,Live birth,13.7
Kisii,Teenage Pregnancy,Pregnancy loss,0.4
Kisii,Teenage Pregnancy,Currently pregnant,1.5
Kisii,Teenage Pregnancy,Ever pregnant,14.2
Nyamira,Teenage Pregnancy,Live birth,14.7
Nyamira,Teenage Pregnancy,Pregnancy loss,0
Nyamira,Teenage Pregnancy,Currently pregnant,1.5
Nyamira,Teenage Pregnancy,Ever pregnant,15.5
Nairobi,Teenage Pregnancy,Live birth,8
Nairobi,Teenage Pregnancy,Pregnancy loss,0
Nairobi,Teenage Pregnancy,Currently pregnant,0.4
Nairobi,Teenage Pregnancy,Ever pregnant,8.4
Mombasa,Violence,Percentage who have experienced physical violence since age 15,24.5
Mombasa,Violence,Often,2.1
Mombasa,Violence,Sometimes,9.4
Mombasa,Violence,Often or sometimes,11.5
Kwale,Violence,Percentage who have experienced physical violence since age 15,13.1
Kwale,Violence,Often,3
Kwale,Violence,Sometimes,8.3
Kwale,Violence,Often or sometimes,11.3
Kilifi,Violence,Percentage who have experienced physical violence since age 15,20.1
Kilifi,Violence,Often,1.6
Kilifi,Violence,Sometimes,5.9
Kilifi,Violence,Often or sometimes,8.3
Tana River,Violence,Percentage who have experienced physical violence since age 15,35.8
Tana River,Violence,Often,1.5
Tana River,Violence,Sometimes,21.8
Tana River,Violence,Often or sometimes,23.2
Lamu,Violence,Percentage who have experienced physical violence since age 15,33.9
Lamu,Violence,Often,4.3
Lamu,Violence,Sometimes,7.7
Lamu,Violence,Often or sometimes,12
Taita Taveta,Violence,Percentage who have experienced physical violence since age 15,29.5
Taita Taveta,Violence,Often,2.1
Taita Taveta,Violence,Sometimes,5.4
Taita Taveta,Violence,Often or sometimes,7.4
Garissa,Violence,Percentage who have experienced physical violence since age 15,21
Garissa,Violence,Often,6.4
Garissa,Violence,Sometimes,6.4
Garissa,Violence,Often or sometimes,12.8
Wajir,Violence,Percentage who have experienced physical violence since age 15,13.2
Wajir,Violence,Often,1.4
Wajir,Violence,Sometimes,4.1
Wajir,Violence,Often or sometimes,5.5
Mandera,Violence,Percentage who have experienced physical violence since age 15,8.6
Mandera,Violence,Often,0.7
Mandera,Violence,Sometimes,2.6
Mandera,Violence,Often or sometimes,3.3
Marsabit,Violence,Percentage who have experienced physical violence since age 15,16.4
Marsabit,Violence,Often,1.7
Marsabit,Violence,Sometimes,12.3
Marsabit,Violence,Often or sometimes,14.2
Isiolo,Violence,Percentage who have experienced physical violence since age 15,45.6
Isiolo,Violence,Often,9.8
Isiolo,Violence,Sometimes,19.5
Isiolo,Violence,Often or sometimes,29.3
Meru,Violence,Percentage who have experienced physical violence since age 15,35.8
Meru,Violence,Often,4.9
Meru,Violence,Sometimes,10.2
Meru,Violence,Often or sometimes,15.1
Tharaka Nithi,Violence,Percentage who have experienced physical violence since age 15,34.6
Tharaka Nithi,Violence,Often,2.8
Tharaka Nithi,Violence,Sometimes,11
Tharaka Nithi,Violence,Often or sometimes,13.9
Embu,Violence,Percentage who have experienced physical violence since age 15,40.3
Embu,Violence,Often,5.6
Embu,Violence,Sometimes,22.1
Embu,Violence,Often or sometimes,27.7
Kitui,Violence,Percentage who have experienced physical violence since age 15,11.5
Kitui,Violence,Often,0.5
Kitui,Violence,Sometimes,4.1
Kitui,Violence,Often or sometimes,4.7
Machakos,Violence,Percentage who have experienced physical violence since age 15,25.7
Machakos,Violence,Often,2.8
Machakos,Violence,Sometimes,7.4
Machakos,Violence,Often or sometimes,10.1
Makueni,Violence,Percentage who have experienced physical violence since age 15,22.7
Makueni,Violence,Often,2.2
Makueni,Violence,Sometimes,9.7
Makueni,Violence,Often or sometimes,11.9
Nyandarua,Violence,Percentage who have experienced physical violence since age 15,24.3
Nyandarua,Violence,Often,1.4
Nyandarua,Violence,Sometimes,3.6
Nyandarua,Violence,Often or sometimes,5
Nyeri,Violence,Percentage who have experienced physical violence since age 15,36.9
Nyeri,Violence,Often,3.1
Nyeri,Violence,Sometimes,11.7
Nyeri,Violence,Often or sometimes,15.4
Kirinyaga,Violence,Percentage who have experienced physical violence since age 15,39.6
Kirinyaga,Violence,Often,1.2
Kirinyaga,Violence,Sometimes,10.4
Kirinyaga,Violence,Often or sometimes,12.5
Muranga,Violence,Percentage who have experienced physical violence since age 15,53.7
Muranga,Violence,Often,6.3
Muranga,Violence,Sometimes,15.7
Muranga,Violence,Often or sometimes,22
Kiambu,Violence,Percentage who have experienced physical violence since age 15,41.7
Kiambu,Violence,Often,5.6
Kiambu,Violence,Sometimes,12.2
Kiambu,Violence,Often or sometimes,17.9
Turkana,Violence,Percentage who have experienced physical violence since age 15,42.4
Turkana,Violence,Often,5
Turkana,Violence,Sometimes,14.9
Turkana,Violence,Often or sometimes,19.9
West Pokot,Violence,Percentage who have experienced physical violence since age 15,27.1
West Pokot,Violence,Often,4.2
West Pokot,Violence,Sometimes,14.8
West Pokot,Violence,Often or sometimes,19.1
Samburu,Violence,Percentage who have experienced physical violence since age 15,48.6
Samburu,Violence,Often,9.7
Samburu,Violence,Sometimes,18.7
Samburu,Violence,Often or sometimes,28.5
Trans Nzoia,Violence,Percentage who have experienced physical violence since age 15,40.8
Trans Nzoia,Violence,Often,5
Trans Nzoia,Violence,Sometimes,12.2
Trans Nzoia,Violence,Often or sometimes,17.2
Uasin Gishu,Violence,Percentage who have experienced physical violence since age 15,41.9
Uasin Gishu,Violence,Often,2.3
Uasin Gishu,Violence,Sometimes,9.7
Uasin Gishu,Violence,Often or sometimes,12.4
Elgeyo Marakwet,Violence,Percentage who have experienced physical violence since age 15,30.2
Elgeyo Marakwet,Violence,Often,1.7
Elgeyo Marakwet,Violence,Sometimes,14.2
Elgeyo Marakwet,Violence,Often or sometimes,15.9
Nandi,Violence,Percentage who have experienced physical violence since age 15,39.4
Nandi,Violence,Often,2.5
Nandi,Violence,Sometimes,12.5
Nandi,Violence,Often or sometimes,15
Baringo,Violence,Percentage who have experienced physical violence since age 15,37.9
Baringo,Violence,Often,8.5
Baringo,Violence,Sometimes,10.3
Baringo,Violence,Often or sometimes,19.6
Laikipia,Violence,Percentage who have experienced physical violence since age 15,34.5
Laikipia,Violence,Often,2.9
Laikipia,Violence,Sometimes,8.8
Laikipia,Violence,Often or sometimes,11.7
Nakuru,Violence,Percentage who have experienced physical violence since age 15,23.5
Nakuru,Violence,Often,1.2
Nakuru,Violence,Sometimes,8.2
Nakuru,Violence,Often or sometimes,9.4
Narok,Violence,Percentage who have experienced physical violence since age 15,40.5
Narok,Violence,Often,3.6
Narok,Violence,Sometimes,12.6
Narok,Violence,Often or sometimes,16.3
Kajiado,Violence,Percentage who have experienced physical violence since age 15,36.1
Kajiado,Violence,Often,5.6
Kajiado,Violence,Sometimes,11
Kajiado,Violence,Often or sometimes,17
Kericho,Violence,Percentage who have experienced physical violence since age 15,16.3
Kericho,Violence,Often,2.1
Kericho,Violence,Sometimes,8
Kericho,Violence,Often or sometimes,10.2
Bomet,Violence,Percentage who have experienced physical violence since age 15,32.8
Bomet,Violence,Often,1.6
Bomet,Violence,Sometimes,9.1
Bomet,Violence,Often or sometimes,10.7
Kakamega,Violence,Percentage who have experienced physical violence since age 15,40.1
Kakamega,Violence,Often,3.5
Kakamega,Violence,Sometimes,15.5
Kakamega,Violence,Often or sometimes,19.1
Vihiga,Violence,Percentage who have experienced physical violence since age 15,33.8
Vihiga,Violence,Often,3.1
Vihiga,Violence,Sometimes,13.9
Vihiga,Violence,Often or sometimes,17.1
Bungoma,Violence,Percentage who have experienced physical violence since age 15,62.2
Bungoma,Violence,Often,4
Bungoma,Violence,Sometimes,24.8
Bungoma,Violence,Often or sometimes,29.4
Busia,Violence,Percentage who have experienced physical violence since age 15,38.4
Busia,Violence,Often,6.5
Busia,Violence,Sometimes,14.6
Busia,Violence,Often or sometimes,21.1
Siaya,Violence,Percentage who have experienced physical violence since age 15,23.6
Siaya,Violence,Often,2.1
Siaya,Violence,Sometimes,14.8
Siaya,Violence,Often or sometimes,16.9
Kisumu,Violence,Percentage who have experienced physical violence since age 15,36
Kisumu,Violence,Often,1.7
Kisumu,Violence,Sometimes,24.1
Kisumu,Violence,Often or sometimes,26
Homa Bay,Violence,Percentage who have experienced physical violence since age 15,53.5
Homa Bay,Violence,Often,6.9
Homa Bay,Violence,Sometimes,19.7
Homa Bay,Violence,Often or sometimes,26.6
Migori,Violence,Percentage who have experienced physical violence since age 15,51.1
Migori,Violence,Often,4.7
Migori,Violence,Sometimes,24.7
Migori,Violence,Often or sometimes,29.5
Kisii,Violence,Percentage who have experienced physical violence since age 15,35.7
Kisii,Violence,Often,4.9
Kisii,Violence,Sometimes,14.8
Kisii,Violence,Often or sometimes,19.8
Nyamira,Violence,Percentage who have experienced physical violence since age 15,33.3
Nyamira,Violence,Often,1.8
Nyamira,Violence,Sometimes,7.1
Nyamira,Violence,Often or sometimes,11.3
Nairobi,Violence,Percentage who have experienced physical violence since age 15,29.7
Nairobi,Violence,Often,3.6
Nairobi,Violence,Sometimes,9.9
Nairobi,Violence,Often or sometimes,13.5
Mombasa,Maternal Care,ANC from a skilled provider,99.4
Mombasa,Maternal Care,At least four ANC visits,65.3
Mombasa,Maternal Care,Took iron supplements,94.1
Mombasa,Maternal Care,Neonatal tetanus,62.3
Mombasa,Maternal Care,Skilled delivery,95.5
Mombasa,Maternal Care,Health facility delivery,94.1
Mombasa,Maternal Care,Postnatal check,75
Kwale,Maternal Care,ANC from a skilled provider,99.3
Kwale,Maternal Care,At least four ANC visits,71.9
Kwale,Maternal Care,Took iron supplements,96.2
Kwale,Maternal Care,Neonatal tetanus,75.2
Kwale,Maternal Care,Skilled delivery,89.3
Kwale,Maternal Care,Health facility delivery,84.1
Kwale,Maternal Care,Postnatal check,89.7
Kilifi,Maternal Care,ANC from a skilled provider,99.3
Kilifi,Maternal Care,At least four ANC visits,77.3
Kilifi,Maternal Care,Took iron supplements,95.1
Kilifi,Maternal Care,Neonatal tetanus,71
Kilifi,Maternal Care,Skilled delivery,84.5
Kilifi,Maternal Care,Health facility delivery,83.8
Kilifi,Maternal Care,Postnatal check,82.5
Tana River,Maternal Care,ANC from a skilled provider,95.3
Tana River,Maternal Care,At least four ANC visits,61.2
Tana River,Maternal Care,Took iron supplements,86.6
Tana River,Maternal Care,Neonatal tetanus,62.2
Tana River,Maternal Care,Skilled delivery,59.2
Tana River,Maternal Care,Health facility delivery,51.1
Tana River,Maternal Care,Postnatal check,59.4
Lamu,Maternal Care,ANC from a skilled provider,97.9
Lamu,Maternal Care,At least four ANC visits,70.5
Lamu,Maternal Care,Took iron supplements,87.1
Lamu,Maternal Care,Neonatal tetanus,81.8
Lamu,Maternal Care,Skilled delivery,92.5
Lamu,Maternal Care,Health facility delivery,90.3
Lamu,Maternal Care,Postnatal check,87.5
Taita Taveta,Maternal Care,ANC from a skilled provider,100
Taita Taveta,Maternal Care,At least four ANC visits,64.9
Taita Taveta,Maternal Care,Took iron supplements,92.8
Taita Taveta,Maternal Care,Neonatal tetanus,91.3
Taita Taveta,Maternal Care,Skilled delivery,95.7
Taita Taveta,Maternal Care,Health facility delivery,93.3
Taita Taveta,Maternal Care,Postnatal check,86.7
Garissa,Maternal Care,ANC from a skilled provider,77.5
Garissa,Maternal Care,At least four ANC visits,31.2
Garissa,Maternal Care,Took iron supplements,48
Garissa,Maternal Care,Neonatal tetanus,57.2
Garissa,Maternal Care,Skilled delivery,68.1
Garissa,Maternal Care,Health facility delivery,61.4
Garissa,Maternal Care,Postnatal check,45.4
Wajir,Maternal Care,ANC from a skilled provider,84
Wajir,Maternal Care,At least four ANC visits,44.9
Wajir,Maternal Care,Took iron supplements,72
Wajir,Maternal Care,Neonatal tetanus,60.7
Wajir,Maternal Care,Skilled delivery,56.6
Wajir,Maternal Care,Health facility delivery,53.6
Wajir,Maternal Care,Postnatal check,37
Mandera,Maternal Care,ANC from a skilled provider,76.4
Mandera,Maternal Care,At least four ANC visits,40.4
Mandera,Maternal Care,Took iron supplements,61.4
Mandera,Maternal Care,Neonatal tetanus,53.6
Mandera,Maternal Care,Skilled delivery,54.7
Mandera,Maternal Care,Health facility delivery,50.4
Mandera,Maternal Care,Postnatal check,45.7
Marsabit,Maternal Care,ANC from a skilled provider,93.8
Marsabit,Maternal Care,At least four ANC visits,67.1
Marsabit,Maternal Care,Took iron supplements,87
Marsabit,Maternal Care,Neonatal tetanus,67
Marsabit,Maternal Care,Skilled delivery,68.7
Marsabit,Maternal Care,Health facility delivery,59.3
Marsabit,Maternal Care,Postnatal check,40.6
Isiolo,Maternal Care,ANC from a skilled provider,99.3
Isiolo,Maternal Care,At least four ANC visits,52.9
Isiolo,Maternal Care,Took iron supplements,84.7
Isiolo,Maternal Care,Neonatal tetanus,77.8
Isiolo,Maternal Care,Skilled delivery,85
Isiolo,Maternal Care,Health facility delivery,83.7
Isiolo,Maternal Care,Postnatal check,75.1
Meru,Maternal Care,ANC from a skilled provider,99.2
Meru,Maternal Care,At least four ANC visits,45
Meru,Maternal Care,Took iron supplements,83.7
Meru,Maternal Care,Neonatal tetanus,69.4
Meru,Maternal Care,Skilled delivery,90.9
Meru,Maternal Care,Health facility delivery,71.6
Meru,Maternal Care,Postnatal check,41.3
Tharaka Nithi,Maternal Care,ANC from a skilled provider,98
Tharaka Nithi,Maternal Care,At least four ANC visits,63.2
Tharaka Nithi,Maternal Care,Took iron supplements,93.3
Tharaka Nithi,Maternal Care,Neonatal tetanus,79.9
Tharaka Nithi,Maternal Care,Skilled delivery,95.1
Tharaka Nithi,Maternal Care,Health facility delivery,74.9
Tharaka Nithi,Maternal Care,Postnatal check,66
Embu,Maternal Care,ANC from a skilled provider,100
Embu,Maternal Care,At least four ANC visits,62
Embu,Maternal Care,Took iron supplements,88.2
Embu,Maternal Care,Neonatal tetanus,89.6
Embu,Maternal Care,Skilled delivery,96.3
Embu,Maternal Care,Health facility delivery,86.3
Embu,Maternal Care,Postnatal check,85.9
Kitui,Maternal Care,ANC from a skilled provider,94.1
Kitui,Maternal Care,At least four ANC visits,68.2
Kitui,Maternal Care,Took iron supplements,88.6
Kitui,Maternal Care,Neonatal tetanus,65.7
Kitui,Maternal Care,Skilled delivery,86
Kitui,Maternal Care,Health facility delivery,76.2
Kitui,Maternal Care,Postnatal check,75.4
Machakos,Maternal Care,ANC from a skilled provider,98
Machakos,Maternal Care,At least four ANC visits,76.9
Machakos,Maternal Care,Took iron supplements,92.5
Machakos,Maternal Care,Neonatal tetanus,64.2
Machakos,Maternal Care,Skilled delivery,95.3
Machakos,Maternal Care,Health facility delivery,93.1
Machakos,Maternal Care,Postnatal check,90.1
Makueni,Maternal Care,ANC from a skilled provider,99.1
Makueni,Maternal Care,At least four ANC visits,75.7
Makueni,Maternal Care,Took iron supplements,93.1
Makueni,Maternal Care,Neonatal tetanus,83.5
Makueni,Maternal Care,Skilled delivery,92.1
Makueni,Maternal Care,Health facility delivery,88.1
Makueni,Maternal Care,Postnatal check,83.8
Nyandarua,Maternal Care,ANC from a skilled provider,98.3
Nyandarua,Maternal Care,At least four ANC visits,60.6
Nyandarua,Maternal Care,Took iron supplements,92.2
Nyandarua,Maternal Care,Neonatal tetanus,75.8
Nyandarua,Maternal Care,Skilled delivery,98
Nyandarua,Maternal Care,Health facility delivery,95.3
Nyandarua,Maternal Care,Postnatal check,80.1
Nyeri,Maternal Care,ANC from a skilled provider,97.3
Nyeri,Maternal Care,At least four ANC visits,82.2
Nyeri,Maternal Care,Took iron supplements,90.6
Nyeri,Maternal Care,Neonatal tetanus,73.7
Nyeri,Maternal Care,Skilled delivery,99.1
Nyeri,Maternal Care,Health facility delivery,99.1
Nyeri,Maternal Care,Postnatal check,80.4
Kirinyaga,Maternal Care,ANC from a skilled provider,100
Kirinyaga,Maternal Care,At least four ANC visits,67.6
Kirinyaga,Maternal Care,Took iron supplements,92.7
Kirinyaga,Maternal Care,Neonatal tetanus,64.6
Kirinyaga,Maternal Care,Skilled delivery,97.3
Kirinyaga,Maternal Care,Health facility delivery,91.6
Kirinyaga,Maternal Care,Postnatal check,88.3
Muranga,Maternal Care,ANC from a skilled provider,100
Muranga,Maternal Care,At least four ANC visits,58.3
Muranga,Maternal Care,Took iron supplements,90.9
Muranga,Maternal Care,Neonatal tetanus,86
Muranga,Maternal Care,Skilled delivery,96.2
Muranga,Maternal Care,Health facility delivery,83.9
Muranga,Maternal Care,Postnatal check,77.6
Kiambu,Maternal Care,ANC from a skilled provider,98.4
Kiambu,Maternal Care,At least four ANC visits,66.8
Kiambu,Maternal Care,Took iron supplements,93.2
Kiambu,Maternal Care,Neonatal tetanus,86.1
Kiambu,Maternal Care,Skilled delivery,98.2
Kiambu,Maternal Care,Health facility delivery,89.2
Kiambu,Maternal Care,Postnatal check,83.1
Turkana,Maternal Care,ANC from a skilled provider,99.5
Turkana,Maternal Care,At least four ANC visits,57.7
Turkana,Maternal Care,Took iron supplements,96.9
Turkana,Maternal Care,Neonatal tetanus,86.4
Turkana,Maternal Care,Skilled delivery,52.6
Turkana,Maternal Care,Health facility delivery,43.2
Turkana,Maternal Care,Postnatal check,52.1
West Pokot,Maternal Care,ANC from a skilled provider,97.9
West Pokot,Maternal Care,At least four ANC visits,35
West Pokot,Maternal Care,Took iron supplements,87.2
West Pokot,Maternal Care,Neonatal tetanus,70.6
West Pokot,Maternal Care,Skilled delivery,65.3
West Pokot,Maternal Care,Health facility delivery,55.5
West Pokot,Maternal Care,Postnatal check,65.9
Samburu,Maternal Care,ANC from a skilled provider,92.9
Samburu,Maternal Care,At least four ANC visits,56.3
Samburu,Maternal Care,Took iron supplements,84.5
Samburu,Maternal Care,Neonatal tetanus,62.1
Samburu,Maternal Care,Skilled delivery,56.6
Samburu,Maternal Care,Health facility delivery,49.1
Samburu,Maternal Care,Postnatal check,54.1
Trans Nzoia,Maternal Care,ANC from a skilled provider,98.8
Trans Nzoia,Maternal Care,At least four ANC visits,68.1
Trans Nzoia,Maternal Care,Took iron supplements,92.9
Trans Nzoia,Maternal Care,Neonatal tetanus,62.3
Trans Nzoia,Maternal Care,Skilled delivery,93.3
Trans Nzoia,Maternal Care,Health facility delivery,85.2
Trans Nzoia,Maternal Care,Postnatal check,74.4
Uasin Gishu,Maternal Care,ANC from a skilled provider,98.9
Uasin Gishu,Maternal Care,At least four ANC visits,71.9
Uasin Gishu,Maternal Care,Took iron supplements,93.5
Uasin Gishu,Maternal Care,Neonatal tetanus,67.4
Uasin Gishu,Maternal Care,Skilled delivery,95.3
Uasin Gishu,Maternal Care,Health facility delivery,91
Uasin Gishu,Maternal Care,Postnatal check,71.2
Elgeyo Marakwet,Maternal Care,ANC from a skilled provider,99.3
Elgeyo Marakwet,Maternal Care,At least four ANC visits,51.5
Elgeyo Marakwet,Maternal Care,Took iron supplements,86
Elgeyo Marakwet,Maternal Care,Neonatal tetanus,69.3
Elgeyo Marakwet,Maternal Care,Skilled delivery,97.5
Elgeyo Marakwet,Maternal Care,Health facility delivery,85.4
Elgeyo Marakwet,Maternal Care,Postnatal check,78.2
Nandi,Maternal Care,ANC from a skilled provider,97.6
Nandi,Maternal Care,At least four ANC visits,62.1
Nandi,Maternal Care,Took iron supplements,80.7
Nandi,Maternal Care,Neonatal tetanus,75.7
Nandi,Maternal Care,Skilled delivery,87.1
Nandi,Maternal Care,Health facility delivery,80.9
Nandi,Maternal Care,Postnatal check,63
Baringo,Maternal Care,ANC from a skilled provider,99.3
Baringo,Maternal Care,At least four ANC visits,49.4
Baringo,Maternal Care,Took iron supplements,84.2
Baringo,Maternal Care,Neonatal tetanus,76
Baringo,Maternal Care,Skilled delivery,83
Baringo,Maternal Care,Health facility delivery,58.1
Baringo,Maternal Care,Postnatal check,61.7
Laikipia,Maternal Care,ANC from a skilled provider,99
Laikipia,Maternal Care,At least four ANC visits,65.5
Laikipia,Maternal Care,Took iron supplements,91.7
Laikipia,Maternal Care,Neonatal tetanus,84.2
Laikipia,Maternal Care,Skilled delivery,92.6
Laikipia,Maternal Care,Health facility delivery,87.1
Laikipia,Maternal Care,Postnatal check,66.8
Nakuru,Maternal Care,ANC from a skilled provider,97.7
Nakuru,Maternal Care,At least four ANC visits,73.4
Nakuru,Maternal Care,Took iron supplements,93.5
